id,title,overview,genres,release_date,budget,revenue,runtime,original_language,popularity,vote_average,vote_count,status,tagline,homepage,keywords,production_companies,production_countries,spoken_languages
tt25376056,Keedaa Cola,Add a Plot,"[{""name"": ""Comedy""}, {""name"": ""Crime""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3398052,Daawat-e-Ishq,"A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2255934,Aiyyaa,"A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.","[{""name"": ""Comedy""}, {""name"": ""Romance""}]",2012-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0098491,Toofan,Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon ...                See full summary »,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",1989-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0070947,Zanjeer,"A tough and honest police officer clashes with a crime boss who, unbeknownst to him, happens to be his parents' murderer.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",1973-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0246879,Qurbani,Two friends live happily until misunderstandings arise between them.,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",1980-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2831404,Dr. Cabbie,"An Indian doctor emigrates to Canada in the hope of starting a new life, but bureaucracy confines him to life as a taxi driver. When he cannot suppress his desire to practice medicine, he begins illegally treating patients from his cab.","[{""name"": ""Comedy""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt7465992,Mahanati,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.","[{""name"": ""Biography""}, {""name"": ""Drama""}]",2018-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0102844,Saudagar,Two clan chiefs who have maintained a blood feud for decades have to contend with the romance between their respective grandchildren.,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",1991-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt22489564,Har Har Mahadev,"This is the inspirational story of a real battle in which only 300 soldiers, led by Baji Prabhu Deshpande, the commander of Chhatrapati Shivaji Maharaj, held back an enemy army of 15,000 while Shivaji reached the safety of Khera fort.","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""War""}]",2022-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0233979,Zapatlela,A man is presumed to have been haunted when a doll possessed by the spirit of a gangster comes along in his life.,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Horror""}]",1993-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0119428,Judwaa,"Twin brothers who are separated soon after birth, meet in adulthood and join forces to defeat their common enemy, a notorious criminal.","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Drama""}]",1997-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1580704,That Girl in Yellow Boots,A British woman faces challenges while attempting to locate her father in India.,"[{""name"": ""Crime""}, {""name"": ""Drama""}, {""name"": ""Mystery""}]",2010-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15416342,The Delhi Files,Add a Plot,"[{""name"": ""Crime""}, {""name"": ""History""}, {""name"": ""Thriller""}]",,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
