movie_id,title,cast,crew
tt10305616,Malaal,"[{""name"": ""Meezaan Jafri""}, {""name"": ""Sharmin Segal""}, {""name"": ""Chinmayee Surve""}, {""name"": ""Anil Gawas""}]","[{""job"": ""Director"", ""name"": ""Mangesh Hadawale""}]"
tt8705332,Match Of Life,"[{""name"": ""Rajpal Naurang Yadav""}, {""name"": ""Sudha Chandran""}, {""name"": ""Pankaj Berry""}, {""name"": ""Supriya Karnik""}]","[{""job"": ""Director"", ""name"": ""Aman Sagar""}]"
tt7647774,Ek Betuke Aadmi Ki Afrah Raatein,"[{""name"": ""Pawan Chakravarti""}, {""name"": ""Archanna Guptaa""}, {""name"": ""Adil Hussain""}, {""name"": ""Raghav Jhingran""}]","[{""job"": ""Director"", ""name"": ""Sharad Raj""}]"
tt1714832,Do Dooni Chaar,"[{""name"": ""Rishi Kapoor""}, {""name"": ""Neetu Singh""}, {""name"": ""Aditi Vasudev""}, {""name"": ""Archit Krishna""}]","[{""job"": ""Director"", ""name"": ""Habib Faisal""}]"
tt0172175,Bhabhi,"[{""name"": ""Bhanupriya""}, {""name"": ""Govinda""}, {""name"": ""Juhi Chawla""}, {""name"": ""Gulshan Grover""}]","[{""job"": ""Director"", ""name"": ""Kishore Vyas""}]"
tt0247944,Badal,"[{""name"": ""Bobby Deol""}, {""name"": ""Rani Mukerji""}, {""name"": ""Mayuri Kango""}, {""name"": ""Ashutosh Rana""}]","[{""job"": ""Director"", ""name"": ""Raj Kanwar""}]"
tt3807778,Badla Sherni Ka,"[{""name"": ""Sapna Sappu""}, {""name"": ""Amit Pachori""}, {""name"": ""Junior Johnny Lever""}, {""name"": ""Anil Nagrath""}]","[{""job"": ""Director"", ""name"": ""Kanti Shah""}]"
tt27613132,Awara Pagal Deewana 2,"[{""name"": ""Akshay Kumar""}, {""name"": ""Sanjay Dutt""}, {""name"": ""Disha Patani""}, {""name"": ""Dalip Singh""}]","[{""job"": ""Director"", ""name"": ""Ahmed Khan""}]"
tt10318332,Badnaam Gali,"[{""name"": ""Patralekhaa Paul""}, {""name"": ""Divyendu Sharma""}, {""name"": ""Dolly Ahluwalia""}, {""name"": ""Paritosh Sand""}]","[{""job"": ""Director"", ""name"": ""Ashwin Shetty""}]"
tt2199711,Vishwaroopam,"[{""name"": ""Pooja Kumar""}, {""name"": ""Miles Anderson""}, {""name"": ""Kamal Haasan""}, {""name"": ""Rahul Bose""}]","[{""job"": ""Director"", ""name"": ""Kamal Haasan""}]"
tt13491620,Unpaused,"[{""name"": ""Gulshan Devaiah""}, {""name"": ""Saiyami Kher""}, {""name"": ""Richa Chadha""}, {""name"": ""Ishwak Singh""}]","[{""job"": ""Director"", ""name"": ""Nikkhil Advani, Avinash Arun, Tannishtha Chatterjee, Krishna D.K., Nitya Mehra, Raj Nidimoru""}]"
tt23220368,Vedaat Maratha Veer Daudale Saat,"[{""name"": ""Akshay Kumar""}, {""name"": ""Pravin Tarde""}, {""name"": ""Satya Manjrekar""}, {""name"": ""Utkarsh Shinde""}]","[{""job"": ""Director"", ""name"": ""Mahesh Manjrekar""}]"
tt18265146,Victoria: Ek Rahasya,"[{""name"": ""Pushkar Jog""}, {""name"": ""Sonalee Kulkarni""}, {""name"": ""Aashay Kulkarni""}, {""name"": ""Heera Sohal""}]","[{""job"": ""Director"", ""name"": ""Jeet Ashok, Virajas Kulkarni""}]"
tt0173369,Tum Mere Ho,"[{""name"": ""Aamir Khan""}, {""name"": ""Juhi Chawla""}, {""name"": ""Ajit Vachani""}, {""name"": ""Sudhir Pandey""}]","[{""job"": ""Director"", ""name"": ""Tahir Hussain""}]"
tt0326983,Jaani Dushman: Ek Anokhi Kahani,"[{""name"": ""Sunny Deol""}, {""name"": ""Arman Kohli""}, {""name"": ""Manisha Koirala""}, {""name"": ""Akshay Kumar""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Kohli""}]"
tt0075669,Amar Akbar Anthony,"[{""name"": ""Vinod Khanna""}, {""name"": ""Rishi Kapoor""}, {""name"": ""Amitabh Bachchan""}, {""name"": ""Shabana Azmi""}]","[{""job"": ""Director"", ""name"": ""Manmohan Desai""}]"
tt15547882,Spirit,"[{""name"": ""Shahid Kapoor""}, {""name"": ""Prabhas""}, {""name"": ""Olivia Morris""}, {""name"": ""Trisha Krishnan""}]","[{""job"": ""Director"", ""name"": ""Sandeep Reddy Vanga""}]"
tt0116763,Khamoshi: The Musical,"[{""name"": ""Manisha Koirala""}, {""name"": ""Nana Patekar""}, {""name"": ""Salman Khan""}, {""name"": ""Seema Biswas""}]","[{""job"": ""Director"", ""name"": ""Sanjay Leela Bhansali""}]"
tt0061072,Teesri Kasam,"[{""name"": ""Raj Kapoor""}, {""name"": ""Waheeda Rehman""}, {""name"": ""Dulari""}, {""name"": ""Iftekhar""}]","[{""job"": ""Director"", ""name"": ""Basu Bhattacharya""}]"
tt9680136,Pati Patni Aur Woh,"[{""name"": ""Kartik Aaryan""}, {""name"": ""Bhumi Pednekar""}, {""name"": ""Ananya Panday""}, {""name"": ""Aparshakti Khurana""}]","[{""job"": ""Director"", ""name"": ""Mudassar Aziz""}]"
tt15516226,Chhatriwali,"[{""name"": ""Rakul Preet Singh""}, {""name"": ""Sumeet Vyas""}, {""name"": ""Satish Kaushik""}, {""name"": ""Dolly Ahluwalia""}]","[{""job"": ""Director"", ""name"": ""Tejas Prabha Vijay Deoskar""}]"
tt10515526,Lootcase,"[{""name"": ""Kunal Kemmu""}, {""name"": ""Rasika Dugal""}, {""name"": ""Vijay Raaz""}, {""name"": ""Ranvir Shorey""}]","[{""job"": ""Director"", ""name"": ""Rajesh Krishnan""}]"
tt0047990,Devdas,"[{""name"": ""Dilip Kumar""}, {""name"": ""Suchitra Sen""}, {""name"": ""Vyjayanthimala""}, {""name"": ""Motilal""}]","[{""job"": ""Director"", ""name"": ""Bimal Roy""}]"
tt27028399,Murder Mubarak,"[{""name"": ""Vijay Varma""}, {""name"": ""Sara Ali Khan""}, {""name"": ""Pankaj Tripathi""}, {""name"": ""Dimple Kapadia""}]","[{""job"": ""Director"", ""name"": ""Homi Adajania""}]"
tt28539592,Rambo,"[{""name"": ""Tiger Shroff""}, {""name"": ""Janhvi Kapoor""}]","[{""job"": ""Director"", ""name"": ""Rohit Dhawan""}]"
tt23865942,Sarzameen,"[{""name"": ""Kajol""}, {""name"": ""Prithviraj Sukumaran""}, {""name"": ""Tota Roy Chowdhury""}, {""name"": ""Rajesh Sharma""}]","[{""job"": ""Director"", ""name"": ""Kayoze Irani""}]"
tt24245466,Ruslaan,"[{""name"": ""Jagapathi Babu""}, {""name"": ""Aayush Sharma""}, {""name"": ""Vidya Malvade""}, {""name"": ""Richard Bhakti Klein""}]","[{""job"": ""Director"", ""name"": ""Katyayan Shivpuri""}]"
tt0150433,Earth,"[{""name"": ""Aamir Khan""}, {""name"": ""Nandita Das""}, {""name"": ""Rahul Khanna""}, {""name"": ""Maia Sethna""}]","[{""job"": ""Director"", ""name"": ""Deepa Mehta""}]"
tt17736704,Mister Mummy,"[{""name"": ""Riteish Deshmukh""}, {""name"": ""Genelia Deshmukh""}, {""name"": ""Mahesh Manjrekar""}, {""name"": ""Atul Sharma""}]","[{""job"": ""Director"", ""name"": ""Shaad Ali""}]"
tt7317482,Pailwaan,"[{""name"": ""Suniel Shetty""}, {""name"": ""Sushant Singh""}, {""name"": ""Aakanksha Singh""}, {""name"": ""Sudeep""}]","[{""job"": ""Director"", ""name"": ""S Krishna""}]"
tt14873108,Rajnigandha,"[{""name"": ""Monika Agnihotrie""}, {""name"": ""Parul Agrawal""}, {""name"": ""Zoie Aggarwal Ahmed""}, {""name"": ""Veebha Anand""}]","[{""job"": ""Director"", ""name"": ""Pritesh Srivastava, Pritesh Kumar Srivastava""}]"
tt0067183,Haré Rama Haré Krishna,"[{""name"": ""Zeenat Aman""}, {""name"": ""Dev Anand""}, {""name"": ""Mumtaz Askari""}, {""name"": ""Baby Guddi""}]","[{""job"": ""Director"", ""name"": ""Dev Anand""}]"
tt1411956,Sold,"[{""name"": ""Gillian Anderson""}, {""name"": ""David Arquette""}, {""name"": ""Tillotama Shome""}, {""name"": ""Priyanka Bose""}]","[{""job"": ""Director"", ""name"": ""Jeffrey D. Brown""}]"
tt0341266,Bhoot,"[{""name"": ""Ajay Devgn""}, {""name"": ""Urmila Matondkar""}, {""name"": ""Nana Patekar""}, {""name"": ""Rekha""}]","[{""job"": ""Director"", ""name"": ""Ram Gopal Varma""}]"
tt15334030,Martin,"[{""name"": ""Dhruva Sarja""}, {""name"": ""Vaibhavi Shandilya""}, {""name"": ""Sriram Reddy Polasane""}, {""name"": ""Nawab Shah""}]","[{""job"": ""Director"", ""name"": ""A.P. Arjun""}]"
tt0358053,Pyar Ke Do Pal,"[{""name"": ""Mithun Chakraborty""}, {""name"": ""Bindu Desai""}, {""name"": ""Krishan Dhawan""}, {""name"": ""Jagdeep""}]","[{""job"": ""Director"", ""name"": ""Rajiv Mehra""}]"
tt0310254,Tumko Na Bhool Paayenge,"[{""name"": ""Pankaj Dheer""}, {""name"": ""Arbaaz Khan""}, {""name"": ""Salman Khan""}, {""name"": ""Sushmita Sen""}]","[{""job"": ""Director"", ""name"": ""Pankaj Parashar""}]"
tt3683702,Fugly,"[{""name"": ""Jimmy Shergill""}, {""name"": ""Mohit Marwah""}, {""name"": ""Kiara Advani""}, {""name"": ""Vijender Singh""}]","[{""job"": ""Director"", ""name"": ""Kabir Sadanand""}]"
tt0233226,Anokha Bandhan,"[{""name"": ""Shabana Azmi""}, {""name"": ""Seema Deo""}, {""name"": ""Vishal Desai""}, {""name"": ""Aruna Irani""}]","[{""job"": ""Director"", ""name"": ""Mehul Kumar""}]"
tt1773015,Phas Gaye Re Obama,"[{""name"": ""Rajat Kapoor""}, {""name"": ""Neha Dhupia""}, {""name"": ""Sanjay Mishra""}, {""name"": ""Manu Rishi Chadha""}]","[{""job"": ""Director"", ""name"": ""Subhash Kapoor""}]"
tt0429289,Tauba Tauba,"[{""name"": ""Laxmikant Berde""}, {""name"": ""Bobby Darling""}, {""name"": ""Amin Gazi""}, {""name"": ""Vikaas Kalantari""}]","[{""job"": ""Director"", ""name"": ""T.L.V. Prasad""}]"
tt0073104,Hera Pheri,"[{""name"": ""Saira Banu""}, {""name"": ""Vinod Khanna""}, {""name"": ""Amitabh Bachchan""}, {""name"": ""Sulakshana Pandit""}]","[{""job"": ""Director"", ""name"": ""Prakash Mehra""}]"
tt3142232,Heropanti,"[{""name"": ""Tiger Shroff""}, {""name"": ""Kriti Sanon""}, {""name"": ""Parthaa Akerkar""}, {""name"": ""Sunil Grover""}]","[{""job"": ""Director"", ""name"": ""Sabir Khan""}]"
tt8458202,Pihu,"[{""name"": ""Rahul Bagga""}, {""name"": ""Pihu Myra Vishwakarma""}, {""name"": ""Prerna Vishwakarma""}]","[{""job"": ""Director"", ""name"": ""Vinod Kapri""}]"
tt14902008,Oh My Ghost,"[{""name"": ""Sunny Leone""}, {""name"": ""Yogi Babu""}, {""name"": ""Motta Rajendran""}, {""name"": ""Sathish""}]","[{""job"": ""Director"", ""name"": ""R. Yuvan""}]"
tt0126234,Chamatkar,"[{""name"": ""Naseeruddin Shah""}, {""name"": ""Shah Rukh Khan""}, {""name"": ""Urmila Matondkar""}, {""name"": ""Malvika Tiwari""}]","[{""job"": ""Director"", ""name"": ""Rajiv Mehra""}]"
tt1288638,Dasvidaniya,"[{""name"": ""Vinay Pathak""}, {""name"": ""Sarita Joshi""}, {""name"": ""Rajat Kapoor""}, {""name"": ""Saurabh Shukla""}]","[{""job"": ""Director"", ""name"": ""Shashant Shah""}]"
tt0860454,MP3: Mera Pehla Pehla Pyaar,"[{""name"": ""Menekka Arora""}, {""name"": ""Sarthak Bhasin""}, {""name"": ""Sagar Chawla""}, {""name"": ""Hazel Croney""}]","[{""job"": ""Director"", ""name"": ""Robbie Grewal""}]"
tt0346507,Andaaz,"[{""name"": ""Akshay Kumar""}, {""name"": ""Lara Dutta""}, {""name"": ""Priyanka Chopra Jonas""}, {""name"": ""Rajeev Verma""}]","[{""job"": ""Director"", ""name"": ""Raj Kanwar""}]"
tt0388403,Shanakht,"[{""name"": ""Amitabh Bachchan""}, {""name"": ""Madhuri Dixit""}, {""name"": ""Madhavi""}]","[{""job"": ""Director"", ""name"": ""Tinnu Anand""}]"
tt0150251,Daag: A Poem of Love,"[{""name"": ""Rajesh Khanna""}, {""name"": ""Sharmila Tagore""}, {""name"": ""Rakhee Gulzar""}, {""name"": ""Prem Chopra""}]","[{""job"": ""Director"", ""name"": ""Yash Chopra""}]"
tt10743280,Dostana 2,"[{""name"": ""Janhvi Kapoor""}, {""name"": ""Abhishek Banerjee""}, {""name"": ""Lakshya""}, {""name"": ""Kirron Kher""}]","[{""job"": ""Director"", ""name"": ""Collin D'Cunha""}]"
tt0424298,Nache Nagin Gali Gali,"[{""name"": ""Meenakshi Sheshadri""}, {""name"": ""Nitish Bharadwaj""}, {""name"": ""Sadashiv Amrapurkar""}, {""name"": ""Sahila Chaddha""}]","[{""job"": ""Director"", ""name"": ""Mohanji Prasad""}]"
tt26659814,Auron Mein Kahan DumTha,"[{""name"": ""Ajay Devgn""}, {""name"": ""Tabu""}, {""name"": ""Jimmy Shergill""}, {""name"": ""Shantanu Maheshwari""}]","[{""job"": ""Director"", ""name"": ""Neeraj Pandey""}]"
tt1242530,What's Your Raashee?,"[{""name"": ""Harman Baweja""}, {""name"": ""Priyanka Chopra Jonas""}, {""name"": ""Anjan Srivastav""}, {""name"": ""Manju Singh""}]","[{""job"": ""Director"", ""name"": ""Ashutosh Gowariker""}]"
tt6041458,Tutak Tutak Tutiya,"[{""name"": ""Sonu Sood""}, {""name"": ""Rajiv Thakur""}, {""name"": ""Rj Ajay""}, {""name"": ""RJ Balaji""}]","[{""job"": ""Director"", ""name"": ""A.L. Vijay""}]"
tt0340178,Jaal: The Trap,"[{""name"": ""Sunny Deol""}, {""name"": ""Tabu""}, {""name"": ""Reema Sen""}, {""name"": ""Anupam Kher""}]","[{""job"": ""Director"", ""name"": ""Guddu Dhanoa""}]"
tt0088099,Sharaabi,"[{""name"": ""Amitabh Bachchan""}, {""name"": ""Ranjeet Bedi""}, {""name"": ""Bharat Bhushan""}, {""name"": ""C.S. Dubey""}]","[{""job"": ""Director"", ""name"": ""Prakash Mehra""}]"
tt1602476,Badmaa$h Company,"[{""name"": ""Shahid Kapoor""}, {""name"": ""Anushka Sharma""}, {""name"": ""Meiyang Chang""}, {""name"": ""Vir Das""}]","[{""job"": ""Director"", ""name"": ""Parmeet Sethi""}]"
tt3483612,Hamari Adhuri Kahani,"[{""name"": ""Emraan Hashmi""}, {""name"": ""Vidya Balan""}, {""name"": ""Rajkummar Rao""}, {""name"": ""Sara Khan""}]","[{""job"": ""Director"", ""name"": ""Mohit Suri""}]"
tt10351180,Bad Boy,"[{""name"": ""Namashi Chakraborthy""}, {""name"": ""Amrin Qureshi""}, {""name"": ""Darshan Jariwala""}, {""name"": ""Johny Lever""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Santoshi""}]"
tt11231440,Doordarshan,"[{""name"": ""Manu Rishi Chadha""}, {""name"": ""Mahie Gill""}, {""name"": ""Dolly Ahluwalia""}, {""name"": ""Shardul Rana""}]","[{""job"": ""Director"", ""name"": ""Gagan Puri""}]"
tt0362696,Haasil,"[{""name"": ""Jimmy Shergill""}, {""name"": ""Hrishitaa Bhatt""}, {""name"": ""Irrfan Khan""}, {""name"": ""Ashutosh Rana""}]","[{""job"": ""Director"", ""name"": ""Tigmanshu Dhulia""}]"
tt0470869,Neal 'N' Nikki,"[{""name"": ""Uday Chopra""}, {""name"": ""Tanishaa Mukerji""}, {""name"": ""Abhishek Bachchan""}, {""name"": ""Richa Pallod""}]","[{""job"": ""Director"", ""name"": ""Arjun Sablok""}]"
tt0273452,Bandhan,"[{""name"": ""Jackie Shroff""}, {""name"": ""Salman Khan""}, {""name"": ""Rambha""}, {""name"": ""Ashwini Bhave""}]","[{""job"": ""Director"", ""name"": ""K. Muralimohana Rao, Rajesh Malik""}]"
tt1132589,Hijack,"[{""name"": ""Shiney Ahuja""}, {""name"": ""Mona Ambegaonkar""}, {""name"": ""Ananya Chadha""}, {""name"": ""Gananay Chadha""}]","[{""job"": ""Director"", ""name"": ""Kunal Shivdasani""}]"
tt0422236,Fida,"[{""name"": ""Kareena Kapoor""}, {""name"": ""Fardeen Khan""}, {""name"": ""Shahid Kapoor""}, {""name"": ""Kim Sharma""}]","[{""job"": ""Director"", ""name"": ""Ken Ghosh""}]"
tt13391696,Cold Case,"[{""name"": ""Prithviraj Sukumaran""}, {""name"": ""Aditi Balan""}, {""name"": ""Lakshmi Priyaa Chandramouli""}, {""name"": ""Anil Nedumangad""}]","[{""job"": ""Director"", ""name"": ""Tanu Balak""}]"
tt3726012,Mastizaade,"[{""name"": ""Tusshar Kapoor""}, {""name"": ""Vir Das""}, {""name"": ""Sunny Leone""}, {""name"": ""Govardhan Asrani""}]","[{""job"": ""Director"", ""name"": ""Milap Zaveri""}]"
tt0402014,Ab Tak Chhappan,"[{""name"": ""Nana Patekar""}, {""name"": ""Revathi""}, {""name"": ""Yashpal Sharma""}, {""name"": ""Mohan Agashe""}]","[{""job"": ""Director"", ""name"": ""Shimit Amin""}]"
tt0112313,Akele Hum Akele Tum,"[{""name"": ""Aamir Khan""}, {""name"": ""Manisha Koirala""}, {""name"": ""Master Adil""}, {""name"": ""Deven Verma""}]","[{""job"": ""Director"", ""name"": ""Mansoor Khan""}]"
tt0182251,Jab Pyaar Kisise Hota Hai,"[{""name"": ""Salman Khan""}, {""name"": ""Twinkle Khanna""}, {""name"": ""Johny Lever""}, {""name"": ""Farida Jalal""}]","[{""job"": ""Director"", ""name"": ""Deepak Sareen""}]"
tt0090611,Allah-Rakha,"[{""name"": ""Jackie Shroff""}, {""name"": ""Shammi Kapoor""}, {""name"": ""Waheeda Rehman""}, {""name"": ""Biswajeet Chatterjee""}]","[{""job"": ""Director"", ""name"": ""Ketan Desai""}]"
tt29064031,Bhaagamathie Full Hindi Dubbed Movie,"[{""name"": ""Jayaram""}, {""name"": ""Asha Sharath""}, {""name"": ""Murli Sharma""}, {""name"": ""Anushka Shetty""}]","[{""job"": ""Director"", ""name"": ""Ashok G.""}]"
tt0330843,Saathiya,"[{""name"": ""Vivek Oberoi""}, {""name"": ""Rani Mukerji""}, {""name"": ""Shah Rukh Khan""}, {""name"": ""Tabu""}]","[{""job"": ""Director"", ""name"": ""Shaad Ali""}]"
tt15250998,Ankahi Kahaniya,"[{""name"": ""Abhishek Banerjee""}, {""name"": ""T.J. Bhanu""}, {""name"": ""Nikhil Dwivedi""}, {""name"": ""Palomi Ghosh""}]","[{""job"": ""Director"", ""name"": ""Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari""}]"
tt0459516,Pudhu Pettai,"[{""name"": ""Dhanush""}, {""name"": ""Sneha""}, {""name"": ""Sonia Agarwal""}, {""name"": ""Azhagam Perumal""}]","[{""job"": ""Director"", ""name"": ""K. Selvaraghavan""}]"
tt6950476,Tejas,"[{""name"": ""Kangana Ranaut""}, {""name"": ""Anshul Chauhan""}, {""name"": ""Varun Mitra""}, {""name"": ""Veenah Naair""}]","[{""job"": ""Director"", ""name"": ""Sarvesh Mewara""}]"
tt6971752,Shubh Mangal Saavdhan,"[{""name"": ""Ayushmann Khurrana""}, {""name"": ""Bhumi Pednekar""}, {""name"": ""Seema Pahwa""}, {""name"": ""Anshul Chauhan""}]","[{""job"": ""Director"", ""name"": ""R.S. Prasanna""}]"
tt3469244,Phantom,"[{""name"": ""Saif Ali Khan""}, {""name"": ""Katrina Kaif""}, {""name"": ""Sabyasachi Chakrabarty""}, {""name"": ""Rajesh Tailang""}]","[{""job"": ""Director"", ""name"": ""Kabir Khan""}]"
tt10280276,Coolie No. 1,"[{""name"": ""Varun Dhawan""}, {""name"": ""Sara Ali Khan""}, {""name"": ""Paresh Rawal""}, {""name"": ""Jaaved Jaaferi""}]","[{""job"": ""Director"", ""name"": ""David Dhawan""}]"
tt1509732,Aisha,"[{""name"": ""Sonam Kapoor""}, {""name"": ""Abhay Deol""}, {""name"": ""Karamjeet Madonna""}, {""name"": ""Amrita Puri""}]","[{""job"": ""Director"", ""name"": ""Rajshree Ojha""}]"
tt0247394,Gumnaam,"[{""name"": ""Nanda Karnataki""}, {""name"": ""Manoj Kumar""}, {""name"": ""Pran Sikand""}, {""name"": ""Helen""}]","[{""job"": ""Director"", ""name"": ""Raja Nawathe""}]"
